date,mkt_open,weekday
2017-01-01,False,False
2017-01-02,True,True
2017-01-03,True,True
2017-01-04,True,True
2017-01-05,True,True
2017-01-06,True,True
2017-01-07,False,False
2017-01-08,False,False
2017-01-09,True,True
2017-01-10,True,True
2017-01-11,True,True
2017-01-12,True,True
2017-01-13,True,True
2017-01-14,False,False
2017-01-15,False,False
2017-01-16,True,True
2017-01-17,True,True
2017-01-18,True,True
2017-01-19,True,True
2017-01-20,True,True
2017-01-21,False,False
2017-01-22,False,False
2017-01-23,True,True
2017-01-24,True,True
2017-01-25,True,True
2017-01-26,True,True
2017-01-27,True,True
2017-01-28,False,False
2017-01-29,False,False
2017-01-30,True,True
2017-01-31,True,True
2017-02-01,True,True
2017-02-02,True,True
2017-02-03,True,True
2017-02-04,False,False
2017-02-05,False,False
2017-02-06,True,True
2017-02-07,True,True
2017-02-08,True,True
2017-02-09,True,True
2017-02-10,True,True
2017-02-11,False,False
2017-02-12,False,False
2017-02-13,True,True
2017-02-14,True,True
2017-02-15,True,True
2017-02-16,True,True
2017-02-17,True,True
2017-02-18,False,False
2017-02-19,False,False
2017-02-20,True,True
2017-02-21,True,True
2017-02-22,True,True
2017-02-23,True,True
2017-02-24,True,True
2017-02-25,False,False
2017-02-26,False,False
2017-02-27,True,True
2017-02-28,True,True
2017-03-01,True,True
2017-03-02,True,True
2017-03-03,True,True
2017-03-04,False,False
2017-03-05,False,False
2017-03-06,True,True
2017-03-07,True,True
2017-03-08,True,True
2017-03-09,True,True
2017-03-10,True,True
2017-03-11,False,False
2017-03-12,False,False
2017-03-13,True,True
2017-03-14,True,True
2017-03-15,True,True
2017-03-16,True,True
2017-03-17,True,True
2017-03-18,False,False
2017-03-19,False,False
2017-03-20,True,True
2017-03-21,True,True
2017-03-22,True,True
2017-03-23,True,True
2017-03-24,True,True
2017-03-25,False,False
2017-03-26,False,False
2017-03-27,True,True
2017-03-28,True,True
2017-03-29,True,True
2017-03-30,True,True
2017-03-31,True,True
2017-04-01,False,False
2017-04-02,False,False
2017-04-03,True,True
2017-04-04,True,True
2017-04-05,True,True
2017-04-06,True,True
2017-04-07,True,True
2017-04-08,False,False
2017-04-09,False,False
2017-04-10,True,True
2017-04-11,True,True
2017-04-12,True,True
2017-04-13,True,True
2017-04-14,True,True
2017-04-15,False,False
2017-04-16,False,False
2017-04-17,True,True
2017-04-18,True,True
2017-04-19,True,True
2017-04-20,True,True
2017-04-21,True,True
2017-04-22,False,False
2017-04-23,False,False
2017-04-24,True,True
2017-04-25,True,True
2017-04-26,True,True
2017-04-27,True,True
2017-04-28,True,True
2017-04-29,False,False
2017-04-30,False,False
2017-05-01,True,True
2017-05-02,True,True
2017-05-03,True,True
2017-05-04,True,True
2017-05-05,True,True
2017-05-06,False,False
2017-05-07,False,False
2017-05-08,True,True
2017-05-09,True,True
2017-05-10,True,True
2017-05-11,True,True
2017-05-12,True,True
2017-05-13,False,False
2017-05-14,False,False
2017-05-15,True,True
2017-05-16,True,True
2017-05-17,True,True
2017-05-18,True,True
2017-05-19,True,True
2017-05-20,False,False
2017-05-21,False,False
2017-05-22,True,True
2017-05-23,True,True
2017-05-24,True,True
2017-05-25,True,True
2017-05-26,True,True
2017-05-27,False,False
2017-05-28,False,False
2017-05-29,True,True
2017-05-30,True,True
2017-05-31,True,True
2017-06-01,True,True
2017-06-02,True,True
2017-06-03,False,False
2017-06-04,False,False
2017-06-05,True,True
2017-06-06,True,True
2017-06-07,True,True
2017-06-08,True,True
2017-06-09,True,True
2017-06-10,False,False
2017-06-11,False,False
2017-06-12,True,True
2017-06-13,True,True
2017-06-14,True,True
2017-06-15,True,True
2017-06-16,True,True
2017-06-17,False,False
2017-06-18,False,False
2017-06-19,True,True
2017-06-20,True,True
2017-06-21,True,True
2017-06-22,True,True
2017-06-23,True,True
2017-06-24,False,False
