date,open,high,close,low,volume,amount
2016-11-24,97.91,98.65,95.63,95.35,1923824.0,182010020.0
2016-11-23,100.47,100.47,98.05,97.93,2351108.0,226837426.0
2016-11-22,96.31,102.02,99.5,96.26,4457495.0,432171151.0
2016-11-21,97.41,97.42,95.61,93.94,3143468.0,292516845.0
2016-11-18,98.32,99.02,97.92,97.51,2073633.0,198537902.0
2016-11-17,97.92,99.97,97.96,96.38,3378550.0,323375922.0
2016-11-16,101.94,103.44,99.21,98.96,4341501.0,426281991.0
2016-11-15,108.68,109.16,102.73,102.22,6335466.0,643247949.0
2016-11-14,113.03,113.03,109.5,107.66,12371703.0,1329680673.0
2016-11-11,102.76,102.76,102.76,102.76,109712.0,10995337.0
2016-11-10,93.42,93.42,93.42,93.42,31400.0,2860854.0
2016-11-09,84.93,84.93,84.93,84.93,55033.0,4558383.0
2016-11-08,77.21,77.21,77.21,77.21,71354.0,5372956.0
2016-11-07,70.18,70.18,70.18,70.18,71646.0,4904169.0
2016-11-04,63.8,63.8,63.8,63.8,17200.0,1070356.0
2016-11-03,58.0,58.0,58.0,58.0,7900.0,446903.0
2016-11-02,52.73,52.73,52.73,52.73,14700.0,756021.0
2016-11-01,47.93,47.93,47.93,47.93,15500.0,724625.0
2016-10-31,43.58,43.58,43.58,43.58,12100.0,514250.0
2016-10-28,39.62,39.62,39.62,39.62,6000.0,231840.0
2016-10-27,36.02,36.02,36.02,36.02,4000.0,140520.0
2016-10-26,32.75,32.75,32.75,32.75,4600.0,146924.0
2016-10-25,29.77,29.77,29.77,29.77,3200.0,92928.0
2016-10-24,27.07,27.07,27.07,27.07,1800.0,47520.0
2016-10-21,24.61,24.61,24.61,24.61,600.0,14400.0
2016-10-20,22.37,22.37,22.37,22.37,1300.0,28366.0
2016-10-19,20.34,20.34,20.34,20.34,1200.0,23808.0
2016-10-18,16.96,18.5,18.5,16.96,6600.0,118314.0
