date,open,high,close,low,volume,amount
2016-11-24,39.06,39.34,38.5,38.36,1596875.0,61393817.0
2016-11-23,39.92,40.04,39.03,39.03,2736198.0,106237346.0
2016-11-22,39.42,40.03,39.92,38.94,3619689.0,141235566.0
2016-11-21,38.13,39.46,39.45,37.9,3202877.0,122318592.0
2016-11-18,37.99,38.41,37.9,37.76,2068834.0,77709530.0
2016-11-17,38.72,38.72,37.76,37.76,3153473.0,118230450.0
2016-11-16,40.55,40.75,39.12,39.1,4667241.0,183226124.0
2016-11-15,39.23,40.84,40.55,39.12,5144558.0,203449835.0
2016-11-14,39.01,39.5,39.3,38.7,2493880.0,96245715.0
2016-11-11,39.64,39.67,38.93,38.28,3156324.0,120857286.0
2016-11-10,38.87,39.69,39.18,38.87,3686261.0,142752069.0
2016-11-09,39.04,40.52,38.87,38.2,4472946.0,173448505.0
2016-11-08,38.64,39.66,39.43,38.07,4451096.0,171533441.0
2016-11-07,38.11,38.9,38.18,37.4,3231805.0,121862067.0
2016-11-04,38.92,39.51,38.22,37.88,4629517.0,175953867.0
2016-11-03,37.3,40.75,39.08,37.23,7796159.0,298815141.0
2016-11-02,36.88,37.35,37.09,36.47,4384808.0,159875513.0
2016-11-01,36.47,37.47,36.9,36.29,3119496.0,113556911.0
2016-10-31,37.27,37.51,36.04,36.0,3904361.0,139769493.0
2016-10-28,39.53,39.78,37.0,37.0,5852455.0,222677243.0
2016-10-27,40.24,41.11,40.04,39.94,4939317.0,196985029.0
2016-10-26,39.23,41.05,40.54,38.64,5771712.0,226980084.0
2016-10-25,40.64,42.98,40.3,40.16,8479878.0,346516410.0
2016-10-24,39.1,42.07,40.97,38.32,7937341.0,316319221.0
2016-10-21,39.34,40.04,39.24,38.18,4841152.0,186791548.0
2016-10-20,40.56,40.9,40.12,38.72,7532690.0,296000159.0
2016-10-19,38.81,42.18,42.18,37.74,8456440.0,338555817.0
2016-10-18,38.0,39.41,38.35,37.71,3644359.0,138868428.0
2016-10-17,37.56,38.42,37.94,37.42,3913096.0,146371534.0
2016-10-14,39.36,40.22,39.08,38.62,3440431.0,133538346.0
2016-10-13,40.27,40.55,39.81,39.03,5482423.0,214790727.0
2016-10-12,41.04,42.38,40.27,39.53,8012351.0,320952977.0
2016-10-11,36.97,38.53,38.53,36.9,2279314.0,84953142.0
2016-10-10,33.96,35.02,35.02,33.44,3033583.0,102897661.0
