date,open,high,close,low,volume,amount
2016-11-24,31.33,31.66,31.28,31.06,2208351.0,68123854.0
2016-11-23,32.13,32.37,31.77,31.26,3237819.0,101463505.0
2016-11-22,32.68,33.04,32.13,31.84,3944340.0,125580354.0
2016-11-21,31.67,32.38,32.35,31.14,4302917.0,135200956.0
2016-11-18,31.34,31.96,31.6,31.2,2264094.0,70675781.0
2016-11-17,31.37,31.4,31.34,31.07,1603140.0,49252628.0
2016-11-16,31.85,31.85,31.46,31.36,2177219.0,67568981.0
2016-11-15,31.67,32.14,31.91,31.48,2932295.0,91905860.0
2016-11-14,31.29,31.83,31.72,31.19,4001878.0,124166765.0
2016-11-11,32.09,32.31,32.06,31.58,4668319.0,146495858.0
2016-11-10,32.5,32.93,32.4,31.97,10733161.0,341330057.0
2016-11-09,31.31,34.44,33.59,31.08,14249888.0,468669653.0
2016-11-08,30.74,31.57,31.31,30.74,3511392.0,107788781.0
2016-11-07,31.48,31.66,30.88,30.45,2802292.0,85428815.0
2016-11-04,31.08,31.85,31.41,30.99,3298363.0,101848504.0
2016-11-03,31.67,31.68,31.36,31.08,4423889.0,136598344.0
2016-11-02,30.98,31.79,31.7,30.5,6991860.0,214668278.0
2016-11-01,29.31,31.96,31.18,29.31,5125487.0,156173952.0
2016-10-31,29.15,29.55,29.55,28.77,1297380.0,37340067.0
2016-10-28,29.55,29.85,29.25,29.25,1649512.0,48079777.0
2016-10-27,29.28,29.54,29.54,29.06,1123152.0,32421651.0
2016-10-26,30.14,30.14,29.28,29.28,1827879.0,53103556.0
2016-10-25,29.89,30.34,29.96,29.53,1655494.0,48755995.0
2016-10-24,29.8,30.08,29.88,29.53,2403495.0,70522445.0
2016-10-21,29.45,29.85,29.81,29.18,2432601.0,70897708.0
2016-10-20,29.6,29.9,29.61,29.2,2417867.0,70327226.0
2016-10-19,28.72,29.85,29.57,28.72,3355830.0,96982626.0
2016-10-18,28.46,28.84,28.72,28.0,2099395.0,58805962.0
2016-10-17,28.72,29.32,28.65,28.54,2743290.0,78306149.0
2016-10-14,28.64,28.72,28.7,28.49,1152339.0,32455532.0
2016-10-13,28.69,28.79,28.58,28.52,1413052.0,39839378.0
2016-10-12,28.8,29.07,28.79,28.64,1639102.0,46530576.0
2016-10-11,28.77,28.9,28.9,28.48,2045151.0,57783469.0
2016-10-10,28.47,28.79,28.66,28.36,2115552.0,59526166.0
2016-09-30,28.56,28.79,28.76,28.45,1830043.0,51690823.0
2016-09-29,28.51,28.82,28.6,28.44,2650489.0,74578503.0
2016-09-28,28.37,28.8,28.61,28.2,2106658.0,59145089.0
2016-09-27,27.71,28.4,28.4,27.71,1744069.0,48198988.0
2016-09-26,27.91,28.52,27.97,27.38,2537071.0,70519280.0
2016-09-23,27.92,28.19,27.93,27.85,1022739.0,28217348.0
2016-09-22,28.23,28.41,28.02,27.93,1481400.0,41151003.0
2016-09-21,27.99,28.18,28.13,27.91,1116159.0,30845827.0
2016-09-20,27.87,28.01,27.99,27.6,1289557.0,35375803.0
2016-09-19,27.23,27.92,27.77,27.23,1351814.0,36832558.0
2016-09-14,27.26,27.62,27.22,27.01,1335015.0,36034382.0
2016-09-13,27.06,27.56,27.26,26.89,855464.0,22940021.0
2016-09-12,27.12,28.07,26.86,26.86,1788771.0,47891356.0
2016-09-09,28.44,28.59,27.73,27.68,2851264.0,78820289.0
2016-09-08,28.83,28.83,28.6,28.23,2517695.0,70807992.0
2016-09-07,28.84,29.1,28.78,28.56,3256967.0,92385001.0
2016-09-06,28.57,28.78,28.63,28.1,3317848.0,93242331.0
2016-09-05,28.51,28.84,28.54,28.23,3108748.0,87088621.0
2016-09-02,27.99,28.83,28.51,27.88,4804870.0,134439238.0
2016-09-01,27.73,28.22,27.99,27.57,2769001.0,76327419.0
2016-08-31,27.76,27.91,27.81,27.52,1600905.0,43626785.0
2016-08-30,27.82,28.53,27.78,27.67,1461085.0,40028003.0
2016-08-29,27.65,28.09,27.74,27.47,2476863.0,67601942.0
2016-08-26,27.32,27.89,27.65,27.11,3042002.0,82578695.0
