date,open,high,close,low,volume,amount
2016-11-24,27.16,27.73,27.0,26.81,4825356.0,130125756.0
2016-11-23,28.15,28.22,27.26,27.11,5334398.0,144973163.0
2016-11-22,28.96,29.05,28.18,27.92,6052947.0,170104769.0
2016-11-21,28.45,29.08,28.78,28.17,5960047.0,169963875.0
2016-11-18,28.42,28.98,28.45,27.89,5600538.0,158433278.0
2016-11-17,28.2,28.78,28.37,27.85,6226700.0,174613450.0
2016-11-16,28.5,28.61,28.2,27.89,4411935.0,122827898.0
2016-11-15,28.27,29.08,28.49,27.97,7601119.0,214500027.0
2016-11-14,27.07,28.68,28.45,26.99,12519765.0,347351177.0
2016-11-11,26.31,27.28,27.26,25.95,9657451.0,256766640.0
2016-11-10,26.61,27.43,26.44,26.07,7614418.0,201834803.0
2016-11-09,26.17,26.38,26.38,25.12,3447065.0,88672615.0
2016-11-08,26.35,26.76,26.15,26.1,2081820.0,54100850.0
2016-11-07,26.39,26.97,26.32,25.87,3955105.0,103324283.0
2016-11-04,26.45,27.46,26.29,26.18,5452635.0,144673655.0
2016-11-03,25.96,27.04,26.54,25.55,7079475.0,184438178.0
2016-11-02,25.53,26.56,25.9,25.53,4715452.0,121548678.0
2016-11-01,25.61,26.05,25.52,25.31,2607864.0,66019989.0
2016-10-31,25.59,25.65,25.65,24.84,3488428.0,86874568.0
2016-10-28,25.55,26.07,25.6,25.55,2689489.0,68894536.0
2016-10-27,26.17,26.17,25.61,25.55,3020229.0,76844181.0
2016-10-26,26.15,26.76,26.2,26.06,4685745.0,122709638.0
2016-10-25,26.37,26.37,26.18,25.85,4432967.0,114382740.0
2016-10-24,26.56,27.16,26.5,26.15,10650392.0,282786229.0
2016-10-21,25.3,26.56,26.15,24.99,11073203.0,285298789.0
2016-10-20,24.74,25.74,25.32,24.64,5403750.0,135452961.0
2016-10-19,24.76,25.29,24.57,24.54,3542267.0,86943619.0
2016-10-18,24.9,25.05,24.72,24.21,3134790.0,114026135.0
2016-10-17,24.66,25.52,24.9,24.62,3459650.0,129411020.0
2016-10-14,24.62,25.07,24.72,24.5,2051659.0,75534084.0
2016-10-13,25.24,25.48,24.97,24.97,1435232.0,53610205.0
2016-10-12,25.18,25.2,25.03,24.82,1461161.0,54174934.0
2016-10-11,25.31,25.55,25.21,25.09,2213714.0,83011781.0
2016-10-10,24.22,25.42,25.39,24.22,3969885.0,146647529.0
2016-09-30,23.96,24.54,24.19,23.69,2477128.0,89125892.0
2016-09-29,24.42,24.56,24.02,23.77,2683000.0,95909161.0
2016-09-28,24.91,25.66,24.46,24.07,3587473.0,131928857.0
2016-09-20,25.18,25.55,25.09,24.7,3425785.0,127402092.0
2016-09-19,25.57,26.52,24.89,24.77,5950257.0,225583992.0
2016-09-14,24.57,25.62,25.58,24.38,6676538.0,251065351.0
2016-09-13,23.69,25.75,24.74,23.45,9256999.0,338288334.0
2016-09-12,22.72,23.53,23.42,22.29,2570452.0,88212673.0
2016-09-09,23.01,23.76,23.2,23.01,2312187.0,80658070.0
2016-09-08,22.69,23.9,23.24,22.58,2555363.0,88537982.0
2016-09-07,23.14,23.26,22.69,22.62,2154976.0,73701180.0
2016-09-06,22.67,22.89,22.87,22.43,2552597.0,86233730.0
2016-09-05,21.82,22.67,22.47,21.82,2285861.0,76114600.0
2016-09-02,22.14,22.25,21.86,21.68,1919959.0,62439060.0
2016-09-01,22.75,22.86,22.13,22.08,1956981.0,65040936.0
2016-08-31,22.58,23.15,22.73,22.28,4108795.0,138943874.0
2016-08-30,22.15,22.21,22.03,21.73,1600849.0,52337584.0
2016-08-29,21.98,22.21,22.19,21.88,1136356.0,37305913.0
2016-08-26,22.69,22.75,22.11,21.94,1932281.0,63959224.0
2016-08-25,22.53,22.8,22.44,21.8,2135488.0,70075280.0
2016-08-24,22.81,22.95,22.52,22.29,1752866.0,58479947.0
2016-08-23,23.02,23.32,22.77,22.75,1086767.0,37213454.0
2016-08-22,23.49,24.07,23.21,23.14,1964269.0,68609842.0
2016-08-19,22.48,24.79,23.53,22.42,4815695.0,168915750.0
2016-08-18,22.71,22.87,22.54,22.48,1045773.0,35189733.0
2016-08-17,22.21,22.73,22.67,22.21,1376513.0,46241424.0
2016-08-16,22.5,22.69,22.56,22.37,2118041.0,71016380.0
2016-08-15,21.78,22.85,22.6,21.78,4168625.0,139343662.0
2016-08-12,21.66,21.83,21.78,21.22,820083.0,26379743.0
2016-08-11,22.08,22.08,21.47,21.46,952549.0,30751068.0
2016-08-10,22.11,22.28,22.09,21.88,1228757.0,40373661.0
2016-08-09,21.76,22.13,22.11,21.53,1577913.0,51434165.0
2016-08-08,22.21,22.55,21.76,21.37,1847602.0,60025293.0
2016-08-05,21.29,22.63,21.91,21.28,1362063.0,44276572.0
2016-08-04,21.18,21.39,21.13,20.87,773515.0,24236727.0
2016-08-03,21.0,21.51,21.18,21.0,894238.0,28177944.0
2016-08-02,20.87,21.32,21.32,20.87,992204.0,31228430.0
2016-08-01,20.23,21.09,21.05,20.11,2902871.0,89195839.0
2016-07-29,21.41,21.41,20.23,20.21,2468778.0,76214884.0
2016-07-28,21.44,21.74,21.13,21.0,2315205.0,73338271.0
2016-07-27,22.18,22.39,21.5,21.09,2524218.0,81033444.0
2016-07-26,21.8,22.19,22.16,21.78,1217374.0,39992294.0
2016-07-25,21.41,21.86,21.8,21.14,1358271.0,43785732.0
2016-07-22,21.88,22.05,21.45,21.09,2232414.0,71072325.0
2016-07-21,22.05,22.27,21.86,21.75,1877500.0,61422298.0
2016-07-20,22.64,22.64,22.01,22.01,1848565.0,61072673.0
2016-07-19,22.35,22.79,22.49,22.23,1379740.0,46079932.0
2016-07-18,22.34,22.75,22.4,22.25,1724747.0,57720799.0
2016-07-15,22.21,22.69,22.48,22.21,1802098.0,60289185.0
2016-07-14,22.36,22.7,22.21,22.15,1827969.0,60791325.0
2016-07-13,22.42,22.42,22.15,21.98,2314292.0,75978388.0
2016-07-12,22.54,22.74,22.28,22.08,2871828.0,94946291.0
2016-07-11,22.81,23.19,22.66,22.56,3617836.0,123106371.0
2016-07-08,22.25,23.19,22.86,22.25,5900751.0,199237221.0
2016-07-07,22.15,22.34,21.85,21.74,1780906.0,58090596.0
2016-07-06,22.0,22.28,22.15,21.61,1988437.0,65027414.0
2016-07-05,22.37,23.15,22.07,22.01,3588162.0,120372567.0
2016-07-04,21.68,22.44,22.35,21.37,2669124.0,88042226.0
2016-07-01,21.94,21.98,21.74,21.44,2475044.0,79870762.0
2016-06-30,22.8,23.09,21.76,21.55,4391914.0,144760357.0
2016-06-29,22.95,23.48,22.76,22.54,3003636.0,102487574.0
2016-06-28,23.16,23.39,22.79,22.44,2987723.0,101257661.0
2016-06-27,22.08,23.56,23.16,22.06,5692828.0,193147627.0
2016-06-24,21.68,22.23,21.94,20.4,4842449.0,153354190.0
2016-06-23,21.45,22.16,21.57,21.37,2911041.0,94646024.0
2016-06-22,21.24,21.61,21.45,20.49,2044410.0,64618643.0
2016-06-21,21.44,22.17,21.23,21.05,3613946.0,116445182.0
2016-06-20,21.15,21.69,21.41,20.53,2716784.0,85239273.0
2016-06-17,20.82,22.6,21.21,20.21,6216745.0,200705656.0
2016-06-16,20.41,21.19,20.82,20.21,4784024.0,147832343.0
2016-06-15,18.56,20.75,20.5,18.53,4784031.0,142618726.0
2016-06-14,18.33,19.13,19.04,18.33,2182356.0,61114645.0
2016-06-13,19.67,19.67,18.6,18.6,2786499.0,80161463.0
2016-06-08,20.04,20.31,19.88,19.41,3350216.0,98548008.0
2016-06-07,19.96,20.15,20.05,19.47,3569245.0,105725055.0
2016-06-06,19.39,20.15,20.01,19.15,5055693.0,149449744.0
2016-06-03,19.09,19.9,19.39,19.09,4824800.0,140790280.0
2016-06-02,19.31,19.35,19.08,18.86,3442913.0,97466788.0
2016-06-01,18.43,19.47,19.29,18.33,5830597.0,166779199.0
2016-05-31,17.86,18.5,18.43,17.68,3728811.0,101147483.0
2016-05-30,17.36,18.35,17.86,17.36,4001251.0,107006033.0
2016-05-27,16.96,17.93,17.66,16.92,4186760.0,108622766.0
2016-05-26,16.38,17.26,17.18,16.38,4258224.0,106918054.0
2016-05-25,16.52,16.61,16.36,16.32,1501854.0,36767661.0
2016-05-24,16.68,16.68,16.4,16.25,2173001.0,53071093.0
2016-05-23,16.72,16.92,16.69,16.55,2481945.0,61591875.0
2016-05-20,16.66,16.75,16.75,16.46,1095262.0,27104831.0
2016-05-19,16.52,16.83,16.72,16.32,1532023.0,38115019.0
2016-05-18,17.06,17.13,16.51,16.38,1566750.0,38970104.0
2016-05-17,17.5,17.57,17.28,17.07,1109601.0,28546663.0
2016-05-16,16.89,17.6,17.43,16.89,1582975.0,40833265.0
2016-05-13,16.89,17.19,16.89,16.73,1336201.0,33815863.0
2016-05-12,17.12,17.12,16.83,16.59,1551794.0,38702494.0
2016-05-11,17.45,17.51,17.14,17.14,1043647.0,26889329.0
2016-05-10,17.38,17.58,17.24,17.18,1155899.0,29958502.0
2016-05-09,18.09,18.26,17.43,17.16,1830136.0,47914756.0
2016-05-06,18.64,18.98,18.09,18.08,3424860.0,94440112.0
2016-05-05,18.6,18.9,18.67,18.53,1593628.0,44456272.0
2016-05-04,18.13,18.91,18.6,18.13,2971801.0,82763112.0
2016-05-03,18.05,18.39,18.39,18.04,2710167.0,73597160.0
2016-04-29,17.81,18.13,18.03,17.81,1082973.0,29114046.0
2016-04-28,17.95,18.43,18.08,17.59,2342366.0,63064484.0
2016-04-27,18.13,18.26,17.93,17.93,1693713.0,45756516.0
2016-04-26,17.96,18.33,18.13,17.83,2193917.0,58972896.0
2016-04-25,17.37,18.57,18.02,17.0,3326952.0,87690832.0
2016-04-22,16.96,17.43,17.28,16.96,1454523.0,37316692.0
2016-04-21,17.58,17.72,16.97,16.93,2515119.0,65317192.0
2016-04-20,19.13,19.14,17.53,17.39,4169940.0,111777368.0
2016-04-19,19.17,19.29,19.02,18.86,2002093.0,56608056.0
2016-04-18,19.53,19.53,19.08,19.01,1949069.0,55640664.0
