date,open,high,close,low,volume,amount
2016-11-23,4.26,4.28,4.21,4.18,47042062.0,198390402.0
2016-11-22,4.15,4.26,4.24,4.14,45905706.0,192078775.0
2016-11-21,4.15,4.19,4.15,4.13,21287733.0,88485995.0
2016-11-18,4.17,4.19,4.15,4.14,24632107.0,102711794.0
2016-11-17,4.17,4.18,4.16,4.13,26566086.0,110348902.0
2016-11-16,4.1,4.23,4.19,4.09,64698646.0,268953097.0
2016-11-15,4.09,4.11,4.1,4.08,20065210.0,82154384.0
2016-11-14,4.08,4.11,4.09,4.07,25006366.0,102268763.0
2016-11-11,4.06,4.09,4.09,4.05,23580276.0,95983822.0
2016-11-10,4.02,4.07,4.06,4.02,23466655.0,94955895.0
2016-11-09,4.05,4.06,4.0,3.98,25018158.0,100398857.0
2016-11-08,4.04,4.06,4.05,4.02,16500284.0,66661057.0
2016-11-07,4.03,4.05,4.03,4.0,20135622.0,81006842.0
2016-11-04,4.05,4.06,4.03,4.01,19675291.0,79342162.0
2016-11-03,4.04,4.08,4.04,4.02,15698881.0,63629940.0
2016-11-02,4.07,4.07,4.03,4.02,11925970.0,48238702.0
2016-11-01,4.03,4.09,4.07,4.03,19781593.0,80440204.0
2016-10-31,4.06,4.07,4.02,4.01,26299998.0,105931506.0
2016-10-28,4.1,4.12,4.07,4.06,18361800.0,75082210.0
2016-10-27,4.13,4.14,4.11,4.09,17710076.0,72812180.0
2016-10-26,4.14,4.18,4.14,4.1,31367100.0,130070624.0
2016-10-25,4.13,4.16,4.15,4.13,19616484.0,81265694.0
2016-10-24,4.12,4.15,4.13,4.08,20732478.0,85427453.0
2016-10-21,4.15,4.16,4.11,4.08,14436804.0,59507756.0
2016-10-20,4.15,4.17,4.14,4.13,17342054.0,71945021.0
2016-10-19,4.14,4.19,4.16,4.13,24443916.0,101524770.0
2016-10-18,4.09,4.14,4.14,4.08,23839632.0,98362964.0
2016-10-17,4.12,4.14,4.09,4.08,13255320.0,54582373.0
2016-10-14,4.14,4.14,4.12,4.09,9404062.0,38679384.0
2016-10-13,4.14,4.15,4.14,4.11,12992017.0,53721964.0
2016-10-12,4.13,4.16,4.14,4.11,13164300.0,54445360.0
2016-10-11,4.11,4.16,4.14,4.1,17842860.0,73746809.0
2016-10-10,4.08,4.12,4.12,4.05,16456843.0,67405567.0
2016-09-30,4.07,4.08,4.07,4.05,7231374.0,29381629.0
2016-09-29,4.06,4.08,4.06,4.04,8668236.0,35202129.0
2016-09-28,4.09,4.1,4.05,4.04,10510501.0,42628033.0
2016-09-27,4.06,4.09,4.09,4.04,12795507.0,52033111.0
2016-09-26,4.16,4.17,4.07,4.07,21456484.0,87957378.0
2016-09-23,4.2,4.2,4.16,4.14,10343829.0,43126289.0
2016-09-22,4.18,4.2,4.17,4.16,21328420.0,89212362.0
2016-09-21,4.14,4.2,4.17,4.12,18309726.0,76202906.0
2016-09-20,4.15,4.15,4.14,4.12,10234618.0,42290504.0
2016-09-19,4.09,4.15,4.15,4.09,12864215.0,52953677.0
2016-09-14,4.07,4.1,4.09,4.05,12414606.0,50657522.0
2016-09-13,4.07,4.1,4.09,4.05,16204185.0,66083304.0
2016-09-12,4.11,4.11,4.05,4.04,30380042.0,123856996.0
