date,open,high,close,low,volume,amount
2016-11-24,26.92,27.21,26.56,26.43,5425626.0,143099970.0
2016-11-23,27.52,27.69,26.99,26.74,9039569.0,241947890.0
2016-11-22,26.95,28.02,27.91,26.78,16173800.0,435275415.0
2016-11-21,25.9,27.23,27.07,25.86,12314057.0,323935140.0
2016-11-18,25.81,26.19,25.84,25.6,3677298.0,93842822.0
2016-11-17,26.47,26.53,25.9,25.81,4901536.0,125482804.0
2016-11-16,26.63,26.85,26.71,26.32,6756443.0,176913453.0
2016-11-15,26.07,27.31,26.85,25.75,11518995.0,303792842.0
2016-11-14,25.96,26.55,26.04,25.73,4825428.0,123640833.0
2016-11-11,26.39,26.39,26.09,25.87,6651917.0,170929305.0
2016-11-10,26.11,26.77,26.51,25.78,8824639.0,228643422.0
2016-11-09,26.36,26.36,25.73,25.18,7103325.0,179925768.0
2016-11-08,26.57,26.66,26.35,26.04,6036387.0,155976913.0
2016-11-07,26.58,26.73,26.55,26.02,8942572.0,232053894.0
2016-11-04,25.57,27.07,26.92,25.41,16509637.0,426719994.0
2016-11-03,24.59,26.29,25.68,24.5,12104736.0,304166977.0
2016-11-02,24.79,24.98,24.7,24.56,3728265.0,90695003.0
2016-11-01,24.38,25.0,24.94,24.28,5479264.0,133240550.0
2016-10-31,23.98,24.68,24.46,23.98,2704879.0,65026328.0
2016-10-28,24.8,24.8,24.25,24.19,3479050.0,83705218.0
2016-10-27,24.43,24.81,24.7,24.28,3373618.0,81729007.0
2016-10-26,24.71,24.94,24.46,24.22,4307012.0,103671935.0
2016-10-25,24.71,25.15,24.95,24.59,4366723.0,107149877.0
2016-10-24,24.36,24.89,24.73,24.06,3922732.0,94601776.0
2016-10-21,25.02,25.02,24.5,24.14,5416825.0,130714552.0
2016-10-20,24.71,25.76,25.16,24.54,8604730.0,213566263.0
2016-10-19,23.88,25.58,25.04,23.67,10372042.0,254209824.0
2016-10-18,23.46,23.82,23.79,23.37,2189306.0,50944411.0
2016-10-17,23.9,23.99,23.39,23.37,2186442.0,50956810.0
2016-10-14,24.01,24.03,23.77,23.52,1640023.0,38279002.0
2016-10-13,24.13,24.32,23.95,23.88,2447959.0,57884643.0
2016-10-12,23.67,24.37,24.09,23.52,3581585.0,84689130.0
2016-10-11,23.67,23.93,23.82,23.67,2171861.0,50838184.0
2016-10-10,23.45,23.93,23.7,23.43,2857130.0,66627812.0
2016-09-30,22.87,23.5,23.29,22.78,2748421.0,62607581.0
2016-09-29,22.95,23.15,22.81,22.78,2095068.0,47319064.0
2016-09-28,23.17,23.24,22.86,22.74,2049152.0,46097143.0
2016-09-27,22.62,23.26,23.21,22.62,2248516.0,50812831.0
2016-09-26,24.5,24.67,23.08,22.86,4205643.0,97743258.0
2016-09-23,24.69,24.89,24.49,24.44,1881600.0,45599989.0
2016-09-22,24.96,25.08,24.76,24.73,2492820.0,61078484.0
2016-09-21,24.71,24.81,24.68,24.57,1350556.0,32808223.0
2016-09-20,24.8,24.98,24.63,24.55,1534315.0,37216794.0
2016-09-19,24.39,24.88,24.79,24.39,2006423.0,48770617.0
2016-09-14,24.64,25.15,24.62,24.51,2137496.0,52065138.0
2016-09-13,24.84,25.18,24.93,24.69,2343707.0,57334046.0
2016-09-12,25.5,25.86,24.66,24.49,4811718.0,119977344.0
2016-09-09,26.42,26.56,26.34,26.2,4270082.0,110783082.0
2016-09-08,26.21,26.55,26.43,25.91,7015688.0,180761608.0
2016-09-07,27.24,27.6,26.68,26.6,7324413.0,195481601.0
2016-09-06,26.82,27.22,27.16,26.27,6189346.0,163257874.0
2016-09-05,26.85,27.63,27.06,26.69,6279533.0,167291554.0
2016-09-02,27.44,27.58,26.85,26.62,9160845.0,244407378.0
2016-09-01,27.24,28.96,28.01,26.97,16965618.0,467695272.0
2016-08-31,28.02,28.25,27.68,26.87,12749239.0,343964760.0
2016-08-30,25.42,27.86,27.86,25.42,6262503.0,169688966.0
2016-08-29,25.52,25.81,25.33,25.23,2807508.0,70299223.0
2016-08-26,25.48,26.1,25.69,25.48,3899868.0,98984853.0
2016-08-25,25.92,25.93,25.74,25.2,3604895.0,90533936.0
2016-08-24,25.69,26.13,25.95,25.45,3478290.0,88271234.0
2016-08-23,25.47,25.69,25.49,25.2,2516055.0,62965445.0
2016-08-22,26.16,26.47,25.42,25.4,3541577.0,90279077.0
2016-08-19,26.47,26.6,26.09,25.9,3351190.0,86049942.0
2016-08-18,26.75,27.06,26.41,26.23,5311043.0,138472729.0
2016-08-17,25.81,27.22,26.85,25.72,7911741.0,207893886.0
2016-08-16,25.88,26.5,26.1,25.88,6147813.0,159015745.0
2016-08-15,25.35,25.89,25.84,24.97,5739788.0,144492349.0
2016-08-12,24.78,25.26,25.15,24.7,2597536.0,64115943.0
2016-08-11,25.57,25.57,24.95,24.9,4223032.0,104541433.0
2016-08-10,25.5,26.24,25.73,25.5,5798481.0,147679364.0
2016-08-09,25.28,25.6,25.45,25.07,4347558.0,108496972.0
2016-08-08,24.44,25.5,25.36,24.44,4640922.0,115364593.0
2016-08-05,25.42,25.48,24.7,24.55,4461175.0,109627548.0
2016-08-04,25.27,25.71,25.42,25.12,4090623.0,102324177.0
2016-08-03,24.59,25.78,25.28,24.44,5663656.0,139955417.0
2016-08-02,24.33,24.77,24.59,24.23,3601928.0,87017674.0
2016-08-01,25.38,25.4,24.26,24.04,4525908.0,108929868.0
2016-07-29,25.9,25.9,25.42,25.2,4441058.0,111437637.0
2016-07-28,27.18,27.4,26.02,25.12,7942026.0,202887253.0
2016-07-27,30.21,30.23,27.18,27.18,10518637.0,292546677.0
2016-07-26,29.95,30.34,30.2,29.95,2954882.0,87681393.0
2016-07-25,29.87,30.46,30.12,29.37,4199070.0,124126156.0
2016-07-22,30.51,30.61,29.68,29.47,5739157.0,168683154.0
2016-07-21,30.48,31.06,30.44,30.42,4269428.0,128990261.0
2016-07-20,31.0,31.3,30.8,30.77,4622427.0,140967211.0
2016-07-19,30.18,31.18,31.16,30.07,6687090.0,201858070.0
2016-07-18,30.48,30.84,30.09,29.97,6278542.0,186612016.0
2016-07-15,30.98,31.54,30.94,30.71,5434188.0,166488554.0
2016-07-14,31.28,31.85,31.18,30.69,6192619.0,190493160.0
2016-07-13,31.34,31.84,31.55,30.52,8027918.0,246917315.0
2016-07-12,31.82,32.14,31.43,29.95,13129328.0,398290258.0
2016-07-11,33.53,33.87,31.85,31.51,16651122.0,531180485.0
2016-07-08,33.3,34.55,33.66,32.76,18315058.0,607399391.0
2016-07-07,33.07,33.87,33.68,32.25,18619435.0,602174780.0
2016-07-06,32.14,34.21,33.47,31.53,26795647.0,867797224.0
2016-07-05,30.89,32.16,31.94,30.89,13701346.0,426054061.0
